cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,,,,,,,,,,,,,,,,,
tu7eufzd,a46d2cd0e65ba71e9d1ccf20762c9043ed3e67c2,PMC,Prognosis of nonspecific interstitial pneumonia correlates with perivascular CD4+ T lymphocyte infiltration of the lung,10.1186/s12890-015-0122-z,PMC4619990,26496721,cc-by,"BACKGROUND: Nonspecific interstitial pneumonia (NSIP) is characterized by interstitial infiltration of T lymphocytes, and subpopulations of these cells may be associated with the progression of fibrosis. However, few studies evaluate the correlation of prognosis with this characteristic. Therefore, we performed morphological and quantitative analyses of T lymphocytes in patients with NSIP and evaluated the relationship between T lymphocytes and prognosis. METHODS: Immunohistochemistry was used to detect the presence of CD4+ and CD8+ T lymphocytes in 55 biopsies of patients with NSIP to determine the numbers of these T cell subpopulations in lymphoid follicles as well as in perivascular, interstitial, and peribronchial anatomical compartments. The relationship between CD4+ and CD8+ T lymphocyte populations and prognosis was analyzed. RESULTS: The mean age of 55 patients was 48.9 ± 10.5 years, and 36 (65 %) of patients were women. All patients were followed for a mean duration of 46 ± 25 months. Thirteen (23.6 %) patients died during follow-up. Perivascular CD4+ lymphocyte infiltration (HR, 0.939; 95 % CI, 0.883–0.999; p = 0.048) was an independent risk factor for survival. Perivascular infiltrates of CD4+ T lymphocytes correlated with survival time (r = 0.270, p = 0.046). Patients with improved forced vital capacity survived longer and had higher numbers of CD4+ T lymphocytes that infiltrated perivascular tissue. The densities of CD4+ and CD8+ T lymphocytes infiltrating other tissues were not significantly associated with survival time. CONCLUSIONS: Perivascular infiltration of CD4+ T lymphocytes in patients with NSIP correlated with prognosis. The underlying mechanisms are unknown and require further studies. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12890-015-0122-z) contains supplementary material, which is available to authorized users.",10/24/15,"Qin, Ling; Wang, WenZe; Liu, HongRui; Xiao, Yi; Qin, MingWei; Zheng, WenJie; Shi, JuHong",BMC Pulm Med,,,,document_parses/pdf_json/a46d2cd0e65ba71e9d1ccf20762c9043ed3e67c2.json,document_parses/pmc_json/PMC4619990.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4619990/,,,,,,,,,,,,,,,,,,
i24mfi7d,5c5088ded6a49170c4ee50c8a9bfc5422cc31668,PMC,"Trypsin- and low pH-mediated fusogenicity of avian metapneumovirus fusion proteins is determined by residues at positions 100, 101 and 294",10.1038/srep15584,PMC4620442,26498473,cc-by,"Avian metapneumovirus (aMPV) and human metapneumovirus (hMPV) are members of the genus Metapneumovirus in the subfamily Pneumovirinae. Metapneumovirus fusion (F) protein mediates the fusion of host cells with the virus membrane for infection. Trypsin- and/or low pH-induced membrane fusion is a strain-dependent phenomenon for hMPV. Here, we demonstrated that three subtypes of aMPV (aMPV/A, aMPV/B, and aMPV/C) F proteins promoted cell-cell fusion in the absence of trypsin. Indeed, in the presence of trypsin, only aMPV/C F protein fusogenicity was enhanced. Mutagenesis of the amino acids at position 100 and/or 101, located at a putative cleavage region in aMPV F proteins, revealed that the trypsin-mediated fusogenicity of aMPV F proteins is regulated by the residues at positions 100 and 101. Moreover, we demonstrated that aMPV/A and aMPV/B F proteins mediated cell-cell fusion independent of low pH, whereas the aMPV/C F protein did not. Mutagenesis of the residue at position 294 in the aMPV/A, aMPV/B, and aMPV/C F proteins showed that 294G played a critical role in F protein-mediated fusion under low pH conditions. These findings on aMPV F protein-induced cell-cell fusion provide new insights into the molecular mechanisms underlying membrane fusion and pathogenesis of aMPV.",10/26/15,"Yun, Bingling; Guan, Xiaolu; Liu, Yongzhen; Gao, Yanni; Wang, Yongqiang; Qi, Xiaole; Cui, Hongyu; Liu, Changjun; Zhang, Yanping; Gao, Li; Li, Kai; Gao, Honglei; Gao, Yulong; Wang, Xiaomei",Sci Rep,,,,document_parses/pdf_json/5c5088ded6a49170c4ee50c8a9bfc5422cc31668.json,document_parses/pmc_json/PMC4620442.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4620442/,,,,,,,,,,,,,,,,,,
u4a8q76v,e622c993d64e1bdcb0b7ec5505945ab5fbe3185e,PMC,Remote Activation of Host Cell DNA Synthesis in Uninfected Cells Signaled by Infected Cells in Advance of Virus Transmission,10.1128/jvi.01950-15,PMC4621119,26311877,cc-by,"Viruses modulate cellular processes and metabolism in diverse ways, but these are almost universally studied in the infected cell itself. Here, we study spatial organization of DNA synthesis during multiround transmission of herpes simplex virus (HSV) using pulse-labeling with ethynyl nucleotides and cycloaddition of azide fluorophores. We report a hitherto unknown and unexpected outcome of virus-host interaction. Consistent with the current understanding of the single-step growth cycle, HSV suppresses host DNA synthesis and promotes viral DNA synthesis in spatially segregated compartments within the cell. In striking contrast, during progressive rounds of infection initiated at a single cell, we observe that infection induces a clear and pronounced stimulation of cellular DNA replication in remote uninfected cells. This induced DNA synthesis was observed in hundreds of uninfected cells at the extended border, outside the perimeter of the progressing infection. Moreover, using pulse-chase analysis, we show that this activation is maintained, resulting in a propagating wave of host DNA synthesis continually in advance of infection. As the virus reaches and infects these activated cells, host DNA synthesis is then shut off and replaced with virus DNA synthesis. Using nonpropagating viruses or conditioned medium, we demonstrate a paracrine effector of uninfected cell DNA synthesis in remote cells continually in advance of infection. These findings have significant implications, likely with broad applicability, for our understanding of the ways in which virus infection manipulates cell processes not only in the infected cell itself but also now in remote uninfected cells, as well as of mechanisms governing host DNA synthesis. IMPORTANCE We show that during infection initiated by a single particle with progressive cell-cell virus transmission (i.e., the normal situation), HSV induces host DNA synthesis in uninfected cells, mediated by a virus-induced paracrine effector. The field has had no conception that this process occurs, and the work changes our interpretation of virus-host interaction during advancing infection and has implications for understanding controls of host DNA synthesis. Our findings demonstrate the utility of chemical biology techniques in analysis of infection processes, reveal distinct processes when infection is examined in multiround transmission versus single-step growth curves, and reveal a hitherto-unknown process in virus infection, likely relevant for other viruses (and other infectious agents) and for remote signaling of other processes, including transcription and protein synthesis.",8/26/15,"Schmidt, Nora; Hennig, Thomas; Serwa, Remigiusz A.; Marchetti, Magda; O'Hare, Peter",J Virol,,,,document_parses/pdf_json/e622c993d64e1bdcb0b7ec5505945ab5fbe3185e.json,document_parses/pmc_json/PMC4621119.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4621119/,,,,,,,,,,,,,,,,,,
9lw5q2s1,,PMC,"Antibody engineering and therapeutics conference: The annual meeting of the antibody society, Huntington Beach, CA, December 7–11, 2014",10.4161/19420862.2014.971627,PMC4622443,25517297,cc-by-nc,"The 25(th) anniversary of the Antibody Engineering & Therapeutics Conference, the Annual Meeting of The Antibody Society, will be held in Huntington Beach, CA, December 7–11, 2014. Organized by IBC Life Sciences, the event will celebrate past successes, educate participants on current activities and offer a vision of future progress in the field. Keynote addresses will be given by academic and industry experts Douglas Lauffenburger (Massachusetts Institute of Technology), Ira Pastan (National Cancer Institute), James Wells (University of California, San Francisco), Ian Tomlinson (GlaxoSmithKline) and Anthony Rees (Rees Consulting AB and Emeritus Professor, University of Bath). These speakers will provide updates of their work, placed in the context of the substantial growth of the industry over the past 25 years.",10/29/14,"Larrick, James W; Parren, Paul WHI; Huston, James S; Plückthun, Andreas; Bradbury, Andrew; Tomlinson, Ian M; Chester, Kerry A; Burton, Dennis R; Adams, Gregory P; Weiner, Louis M; Scott, Jamie K; Alfenito, Mark R; Veldman, Trudi; Reichert, Janice M",MAbs,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4622443/,,,,,,,,,,,,,,,,,,
qxujzgqg,f2e48e15f7272219f8cf18c02f99e51586853a22,PMC,Lung ultrasonography for the diagnosis of 11 patients with acute respiratory distress syndrome due to bird flu H7N9 infection,10.1186/s12985-015-0406-1,PMC4623238,26503117,cc-by,"BACKGROUND: A novel reassortant avian-origin influenza A (H7N9) virus was found to infect three Chinese residents, the first H7N9 infection in humans in Asia. Chest computed tomography (CT) for acute respiratory distress syndrome (ARDS) diagnosis is not only expensive but also exposes patients to radiation and might cause patients to be at risk of infection during transportation; in addition, chest radiography cannot be used to monitor the lung repeatedly in real time. Therefore, the routine use of bedside lung ultrasonography for critically ill patients with ARDS is especially valuable. OBJECTIVES: The aim of this study was to evaluate the application of ultrasound for lung examination in patients with ARDS. METHODS: Eleven patients infected with H7N9 avian influenza who developed ARDS were diagnosed by lung ultrasonography. RESULTS: Six patients who had severe ARDS showed a diffuse comet tail sign or a consolidation score ≥ 7 and a lung ultrasound score ≥ 20 points. A diffuse comet tail sign or a consolidation score ≤ 6 and a lung ultrasound score < 25 were observed in four patients. One patient showed a diffuse comet tail sign or consolidation area in four lung areas, with an ultrasound score of 14. Among all 11 patients studied, 6 patients had thoracic puncture and drainage of pleural effusion and 2 patients had pneumothorax puncture drainage. CONCLUSIONS: Lung ultrasound could be useful for monitoring ARDS caused by the influenza virus A H7N9 strain in clinical applications.",10/26/15,"Zhang, Yu-kun; Li, Jian; Yang, Jian-ping; Zhan, Ying; Chen, Jun",Virol J,,,,document_parses/pdf_json/f2e48e15f7272219f8cf18c02f99e51586853a22.json,document_parses/pmc_json/PMC4623238.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623238/,,,,,,,,,,,,,,,,,,
ccn3f78b,8bb5f822c7bae1c50b1d5b7a9da329a1f9d8aee2,PMC,Transcriptomic Changes Due to Cytoplasmic TDP-43 Expression Reveal Dysregulation of Histone Transcripts and Nuclear Chromatin,10.1371/journal.pone.0141836,PMC4624943,26510133,cc-by,"TAR DNA-binding protein 43 (TDP-43) is normally a nuclear RNA-binding protein that exhibits a range of functions including regulation of alternative splicing, RNA trafficking, and RNA stability. However, in amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration with TDP-43 inclusions (FTLD-TDP), TDP-43 is abnormally phosphorylated, ubiquitinated, and cleaved, and is mislocalized to the cytoplasm where it forms distinctive aggregates. We previously developed a mouse model expressing human TDP-43 with a mutation in its nuclear localization signal (ΔNLS-hTDP-43) so that the protein preferentially localizes to the cytoplasm. These mice did not exhibit a significant number of cytoplasmic aggregates, but did display dramatic changes in gene expression as measured by microarray, suggesting that cytoplasmic TDP-43 may be associated with a toxic gain-of-function. Here, we analyze new RNA-sequencing data from the ΔNLS-hTDP-43 mouse model, together with published RNA-sequencing data obtained previously from TDP-43 antisense oligonucleotide (ASO) knockdown mice to investigate further the dysregulation of gene expression in the ΔNLS model. This analysis reveals that the transcriptomic effects of the overexpression of the ΔNLS-hTDP-43 transgene are likely due to a gain of cytoplasmic function. Moreover, cytoplasmic TDP-43 expression alters transcripts that regulate chromatin assembly, the nucleolus, lysosomal function, and histone 3’ untranslated region (UTR) processing. These transcriptomic alterations correlate with observed histologic abnormalities in heterochromatin structure and nuclear size in transgenic mouse and human brains.",10/28/15,"Amlie-Wolf, Alexandre; Ryvkin, Paul; Tong, Rui; Dragomir, Isabelle; Suh, EunRan; Xu, Yan; Van Deerlin, Vivianna M.; Gregory, Brian D.; Kwong, Linda K.; Trojanowski, John Q.; Lee, Virginia M.-Y.; Wang, Li-San; Lee, Edward B.",PLoS One,,,,document_parses/pdf_json/8bb5f822c7bae1c50b1d5b7a9da329a1f9d8aee2.json,document_parses/pmc_json/PMC4624943.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4624943/,,,,,,,,,,,,,,,,,,
jrnm113q,a65b8907068dde79fb7cc6e885a745607ed1f371,PMC,Vaccination Method Affects Immune Response and Bacterial Growth but Not Protection in the Salmonella Typhimurium Animal Model of Typhoid,10.1371/journal.pone.0141356,PMC4625024,26509599,cc-by,"Understanding immune responses elicited by vaccines, together with immune responses required for protection, is fundamental to designing effective vaccines and immunisation programs. This study examines the effects of the route of administration of a live attenuated vaccine on its interactions with, and stimulation of, the murine immune system as well as its ability to increase survival and provide protection from colonisation by a virulent challenge strain. We assess the effect of administration method using the murine model for typhoid, where animals are infected with S. Typhimurium. Mice were vaccinated either intravenously or orally with the same live attenuated S. Typhimurium strain and data were collected on vaccine strain growth, shedding and stimulation of antibodies and cytokines. Following vaccination, mice were challenged with a virulent strain of S. Typhimurium and the protection conferred by the different vaccination routes was measured in terms of challenge suppression and animal survival. The main difference in immune stimulation found in this study was the development of a secretory IgA response in orally-vaccinated mice, which was absent in IV vaccinated mice. While both strains showed similar protection in terms of challenge suppression in systemic organs (spleen and liver) as well as survival, they differed in terms of challenge suppression of virulent pathogens in gut-associated organs. This difference in gut colonisation presents important questions around the ability of vaccines to prevent shedding and transmission. These findings demonstrate that while protection conferred by two vaccines can appear to be the same, the mechanisms controlling the protection can differ and have important implications for infection dynamics within a population.",10/28/15,"Kinnear, Clare L.; Strugnell, Richard A.",PLoS One,,,,document_parses/pdf_json/a65b8907068dde79fb7cc6e885a745607ed1f371.json,document_parses/pmc_json/PMC4625024.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625024/,,,,,,,,,,,,,,,,,,
hr1f3g28,fd1b26543d016107178798ed466d39ecfe4572cc,PMC,Development of a rapid recombinase polymerase amplification assay for the detection of Streptococcus pneumoniae in whole blood,10.1186/s12879-015-1212-5,PMC4625855,26515409,cc-by,"BACKGROUND: Streptococcus pneumoniae is an important cause of microbial disease in humans. The introduction of multivalent vaccines has coincided with a dramatic decrease in the number of pneumococcal-related deaths. In spite of this, at a global level, pneumococcal infection remains an important cause of death among children under 5 years of age and in adults 65 years of age or older. In order to properly manage patients and control the spread of infection, a rapid and highly sensitive diagnostic method is needed for routine implementation, especially in resource-limited regions where pneumococcal disease is most prevalent. METHODS: Using the gene encoding leader peptidase A as a molecular diagnostics target, a real-time RPA assay was designed and optimised for the detection of S. pneumoniae in whole blood. The performance of the assay was compared to real-time PCR in terms of its analytical limit of detection and specificity. The inhibitory effect of human genomic DNA on amplification was investigated. The potential clinical utility of the assay was investigated using a small number of clinical samples. RESULTS: The RPA assay has a limit of detection equivalent to PCR (4.0 and 5.1 genome equivalents per reaction, respectively) and was capable of detecting the equivalent of <1 colony forming unit of S. pneumoniae when spiked into human whole blood. The RPA assay was 100 % inclusive (38/38 laboratory reference strains and 19/19 invasive clinical isolates) and 100 % exclusive; differentiating strains of S. pneumoniae species from other viridans group streptococci, including S. pseudopneumoniae. When applied to the analysis of a small number (n = 11) of clinical samples (blood culture positive for S. pneumoniae), the RPA assay was demonstrated to be both rapid and sensitive. CONCLUSIONS: The RPA assay developed in this work is shown to be as sensitive and as specific as PCR. In terms of reaction kinetics, the RPA assay is shown to exceed those of the PCR, with the RPA running to completion in 20 minutes and capable generating a positive signal in as little as 6 minutes. This work represents a potentially suitable assay for application in point-of-care settings.",10/29/15,"Clancy, Eoin; Higgins, Owen; Forrest, Matthew S.; Boo, Teck Wee; Cormican, Martin; Barry, Thomas; Piepenburg, Olaf; Smith, Terry J.",BMC Infect Dis,,,,document_parses/pdf_json/fd1b26543d016107178798ed466d39ecfe4572cc.json,document_parses/pmc_json/PMC4625855.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625855/,,,,,,,,,,,,,,,,,,
roy4420g,6bb0038a55ff68a2f47a36e8c845126da7fea61b,PMC,Effect of cadmium on the expression levels of interleukin-1α and interleukin-10 cytokines in human lung cells,10.3892/mmr.2015.4316,PMC4626121,26397147,cc-by-nc-nd,"Cadmium is an environmentally hazardous metal, which causes toxicity in humans. Inhalation of cigarette smoke and industrial fumes containing cadmium are sources of cadmium exposure. It is responsible for the malfunction of various organs, leading to disease particularly in the lungs, liver and kidneys. In the present study, the effect of cadmium chloride (CdCl(2)) on cell viability, and the expression levels of interleukin (IL)-1α and IL-10 cytokines at various concentrations and incubation durations were assessed in MRC-9 human normal lung and A549 human lung cancer cells to elucidate the mechanism of cadmium toxicity. Cell viability was measured using a crystal violet dye binding assay. The expression levels of the cytokines were measured by cytokine specific enzyme-linked immunosorbent assay kits. The viability assay results revealed higher sensitivity of the A549 lung cancer cells to CdCl(2) compared with the normal MRC-9 lung cells. In the normal MRC-9 lung cells, higher expression levels of the cytokines were observed at the lowest CdCl(2) concentration at a shorter exposure time compared with the lung cancer cells. Higher levels of the cytokines were observed in the A549 lung cancer cells at all other times and concentrations compared with the MRC-9 cells, indicating higher levels of inflammation. The cytokine levels were reduced at higher CdCl(2) concentrations and longer exposure durations, demonstrating the toxic effect of cadmium. The results indicated that CdCl(2) affected the expression levels of the cytokines and led to cytotoxicity in human lung cells, and suggested that compounds which reduce inflammation may prevent cadmium toxicity.",09/10/2015,"ODEWUMI, CAROLINE; LATINWO, LEKAN M.; SINCLAIR, ANDRE; BADISA, VEERA L.D.; ABDULLAH, AHKINYALA; BADISA, RAMESH B.",Mol Med Rep,,,,document_parses/pdf_json/6bb0038a55ff68a2f47a36e8c845126da7fea61b.json,document_parses/pmc_json/PMC4626121.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4626121/,,,,,,,,,,,,,,,,,,
mdfrgwfd,a8fb010702e647142d24caeeb5572e1e67c9fbd5,PMC,Expression and purification of functional HMGB1 A box by fusion with SUMO,10.3892/mmr.2015.4308,PMC4626187,26352592,cc-by-nc-nd,"High-mobility-group-box chromosomal protein 1 (HMGB1) is a ubiquitous and abundant nuclear protein in eukaryotic cells. Nuclear HMGB1 serves an important role in maintaining nuclear stability under stress. However, extracellular HMGB1 exerts actions, which are distinctly different compared with these intracellular functions. HMGB1, when released extracellularly, is a potent innate signal, which initiates host defense mechanisms or tissue regeneration. HMGB1 has two DNA-binding domains: HMG A box and B box. The HMGB1 A box exhibits an antagonistic, anti-inflammatory effect, and is a potential therapeutic target, however, the large-scale expression and purification of the HMGB1 A box with high efficiency remains to be reported. In the present study, a SUMO-fusion expression system was used to express and purify high levels of functional HMGB1 A box to meet the requirements of therapeutic protein production.",09/09/2015,"GE, WEN-SONG; FAN, JIAN-GAO; CHEN, YING-WEI; XU, LEI-MING",Mol Med Rep,,,,document_parses/pdf_json/a8fb010702e647142d24caeeb5572e1e67c9fbd5.json,document_parses/pmc_json/PMC4626187.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4626187/,,,,,,,,,,,,,,,,,,
